,id,prod_name,winery,wine_type,score,price,flavor1,flavor2,prod_link
947,23905357,Perbacco Nebbiolo 2016,Vietti,Red wine,3.9,48599,"cherry, red fruit, rasp...",0,https://www.vivino.com/vietti-perbacco-nebbiolo-langhe/w/77446?year=2016&price_id=23905357
948,23905358,Nebbiolo 2016,Pio Cesare,Red wine,3.8,72899,,0,https://www.vivino.com/pio-cesare-nebbiolo/w/22549?year=2016&price_id=23905358
949,23948265,Sangiovese Reserve 2019,Heron's Flight,Red wine,4.3,93366,,0,https://www.vivino.com/heron-s-flight-sangiovese-reserve/w/2650491?year=2019&price_id=23948265
950,23983636,Tebaida Nemesio Mencía 2015,Casar de Burbia,Red wine,4.1,85454,"oak, tobacco, vanilla",0,https://www.vivino.com/casar-de-burbia-tebaida-nemesio-mencia/w/2448869?year=2015&price_id=23983636
951,23983640,Campo di Sasso Insoglio del Cinghiale 2010,Biserno,Red wine,4.0,58724,"blackberry, plum, black...",0,https://www.vivino.com/tenuta-campo-di-sasso-campo-di-sasso-insoglio-del-cinghiale/w/59754?year=2010&price_id=23983640
952,23986569,Pèppoli Chianti Classico 2010,Antinori,Red wine,3.7,60000,,0,https://www.vivino.com/antinori-tuscany-marchesi-antinori-peppoli-chianti-classico/w/1655?year=2010&price_id=23986569
953,23986570,Pèppoli Chianti Classico 2011,Antinori,Red wine,3.8,60000,,0,https://www.vivino.com/antinori-tuscany-marchesi-antinori-peppoli-chianti-classico/w/1655?year=2011&price_id=23986570
954,23986571,Pèppoli Chianti Classico 2012,Antinori,Red wine,3.7,60000,,0,https://www.vivino.com/antinori-tuscany-marchesi-antinori-peppoli-chianti-classico/w/1655?year=2012&price_id=23986571
955,23986573,Pèppoli Chianti Classico 2014,Antinori,Red wine,3.7,60000,,0,https://www.vivino.com/antinori-tuscany-marchesi-antinori-peppoli-chianti-classico/w/1655?year=2014&price_id=23986573
956,23986574,Pèppoli Chianti Classico 2015,Antinori,Red wine,3.7,60000,,0,https://www.vivino.com/antinori-tuscany-marchesi-antinori-peppoli-chianti-classico/w/1655?year=2015&price_id=23986574
957,23986575,Pèppoli Chianti Classico 2016,Antinori,Red wine,3.9,60000,"cherry, red fruit, rasp...",0,https://www.vivino.com/antinori-tuscany-marchesi-antinori-peppoli-chianti-classico/w/1655?year=2016&price_id=23986575
958,23986576,Pèppoli Chianti Classico 2018,Antinori,Red wine,3.8,60000,,0,https://www.vivino.com/antinori-tuscany-marchesi-antinori-peppoli-chianti-classico/w/1655?year=2018&price_id=23986576
959,23986582,Gewürztraminer 2015,Fetzer,White wine,3.8,50000,,0,https://www.vivino.com/fetzer-vineyards-gewurztraminer/w/6678000?year=2015&price_id=23986582
960,23986583,Gewürztraminer 2016,Fetzer,White wine,3.9,50000,,0,https://www.vivino.com/fetzer-vineyards-gewurztraminer/w/6678000?year=2016&price_id=23986583
961,23986584,Gewürztraminer 2017,Fetzer,White wine,3.9,50000,,0,https://www.vivino.com/fetzer-vineyards-gewurztraminer/w/6678000?year=2017&price_id=23986584
962,23986585,Gewürztraminer 2019,Fetzer,White wine,3.8,50000,,0,https://www.vivino.com/fetzer-vineyards-gewurztraminer/w/6678000?year=2019&price_id=23986585
963,23986588,Riesling Alsace 2012,Trimbach,White wine,3.7,50000,,0,https://www.vivino.com/trimbach-alsace-riesling-alsace/w/63764?year=2012&price_id=23986588
964,23986589,Riesling Alsace 2013,Trimbach,White wine,3.7,50000,,0,https://www.vivino.com/trimbach-alsace-riesling-alsace/w/63764?year=2013&price_id=23986589
965,23986591,Riesling Alsace 2015,Trimbach,White wine,3.7,50000,,0,https://www.vivino.com/trimbach-alsace-riesling-alsace/w/63764?year=2015&price_id=23986591
966,23986592,Riesling Alsace 2016,Trimbach,White wine,3.8,50000,,0,https://www.vivino.com/trimbach-alsace-riesling-alsace/w/63764?year=2016&price_id=23986592
967,23986593,Riesling Alsace 2017,Trimbach,White wine,3.7,50000,,0,https://www.vivino.com/trimbach-alsace-riesling-alsace/w/63764?year=2017&price_id=23986593
968,23986594,Riesling Alsace 2019,Trimbach,White wine,3.7,50000,,0,https://www.vivino.com/trimbach-alsace-riesling-alsace/w/63764?year=2019&price_id=23986594
969,24000786,Reserve The Mayor 2018,Obsidian,Red wine,4.1,74692,"plum, cassis, blackberr...",0,https://www.vivino.com/obsidian-reserve-the-mayor-waiheke-island/w/3951987?year=2018&price_id=24000786
970,24159836,Reserva 2010,Cune (CVNE),Red wine,3.8,60000,,0,https://www.vivino.com/cune-cvne-reserva-rioja/w/49644?year=2010&price_id=24159836
971,24159837,Reserva 2011,Cune (CVNE),Red wine,3.8,60000,,0,https://www.vivino.com/cune-cvne-reserva-rioja/w/49644?year=2011&price_id=24159837
972,24159838,Reserva 2012,Cune (CVNE),Red wine,3.8,60000,,0,https://www.vivino.com/cune-cvne-reserva-rioja/w/49644?year=2012&price_id=24159838
973,24159839,Reserva 2013,Cune (CVNE),Red wine,3.8,60000,,0,https://www.vivino.com/cune-cvne-reserva-rioja/w/49644?year=2013&price_id=24159839
974,24159842,Reserva 2016,Cune (CVNE),Red wine,3.8,60000,,0,https://www.vivino.com/cune-cvne-reserva-rioja/w/49644?year=2016&price_id=24159842
975,24159843,Reserva 2017,Cune (CVNE),Red wine,3.8,60000,,0,https://www.vivino.com/cune-cvne-reserva-rioja/w/49644?year=2017&price_id=24159843
976,24159844,Reserva 2018,Cune (CVNE),Red wine,4.0,60000,"oak, vanilla, tobacco",0,https://www.vivino.com/cune-cvne-reserva-rioja/w/49644?year=2018&price_id=24159844
977,24159846,Unánime Gran Vino Tinto 2003,Mascota Vineyards,Red wine,4.1,120000,"oak, chocolate, tobacco",0,https://www.vivino.com/mascota-vineyards-mendoza-unanime-gran-vino-tinto/w/2273763?year=2003&price_id=24159846
978,24159847,Unánime Gran Vino Tinto 2004,Mascota Vineyards,Red wine,4.1,120000,"oak, chocolate, tobacco",0,https://www.vivino.com/mascota-vineyards-mendoza-unanime-gran-vino-tinto/w/2273763?year=2004&price_id=24159847
979,24159848,Unánime Gran Vino Tinto 2005,Mascota Vineyards,Red wine,4.4,120000,,0,https://www.vivino.com/mascota-vineyards-mendoza-unanime-gran-vino-tinto/w/2273763?year=2005&price_id=24159848
980,24159849,Unánime Gran Vino Tinto 2006,Mascota Vineyards,Red wine,4.0,120000,"oak, chocolate, tobacco",0,https://www.vivino.com/mascota-vineyards-mendoza-unanime-gran-vino-tinto/w/2273763?year=2006&price_id=24159849
981,24159850,Unánime Gran Vino Tinto 2007,Mascota Vineyards,Red wine,4.0,120000,"oak, chocolate, tobacco",0,https://www.vivino.com/mascota-vineyards-mendoza-unanime-gran-vino-tinto/w/2273763?year=2007&price_id=24159850
982,24159851,Unánime Gran Vino Tinto 2008,Mascota Vineyards,Red wine,4.0,120000,"oak, chocolate, tobacco",0,https://www.vivino.com/mascota-vineyards-mendoza-unanime-gran-vino-tinto/w/2273763?year=2008&price_id=24159851
