,ID,제품명,와이너리,종류,평점,가격,노트,노트2,상세
67,33222820,Gimblett Gravels Le Sol 2021,Craggy Range,Red wine,4.3,147835,,,https://www.vivino.com/craggy-range-hawkes-bay-gimblett-gravels-le-sol/w/79637?year=2021&price_id=33222820
68,15001789,Memorias 2014,El Principal,Red wine,4.3,86264,,,https://www.vivino.com/cl-el-principal-memorias-maipo-valley/w/2246136?year=2014&price_id=15001789
69,21493541,Signature Brioso 2017,Susana Balbo,Red wine,4.3,120000,,,https://www.vivino.com/susana-balbo-signature-brioso/w/1248801?year=2017&price_id=21493541
70,33398250,Cornish Point Pinot Noir 2022,Felton Road,Red wine,4.3,101148,,,https://www.vivino.com/felton-road-cornish-point-pinot-noir/w/2054916?year=2022&price_id=33398250
71,31354626,Chateau Buena Vista Cabernet Sauvignon Napa Valley 2019,Buena Vista,Red wine,4.3,150000,,,https://www.vivino.com/buena-vista-winery-chateau-buena-vista-cabernet-sauvignon-napa-valley/w/5261?year=2019&price_id=31354626
72,2873736,The Puzzle 2004,Newton,Red wine,4.3,129598,,,https://www.vivino.com/newton-the-puzzle/w/2293707?year=2004&price_id=2873736
73,2895075,Barolo Cannubi 2001,Michele Chiarlo,Red wine,4.3,133648,,,https://www.vivino.com/michele-chiarlo-barolo-cannubi/w/86573?year=2001&price_id=2895075
74,26404286,Proprietary Red 2019,Paraduxx,Red wine,4.3,72726,,,https://www.vivino.com/paraduxx-proprietary-red-napa-valley-red-wine-v-qdy2y/w/3960216?year=2019&price_id=26404286
75,31168143,Tenuta Guado al Tasso Cont'Ugo Bolgheri 2020,Antinori,Red wine,4.3,55699,,,https://www.vivino.com/antinori-tuscany-marchesi-antinori-tenuta-guado-al-tasso-cont-ugo-bolgheri/w/1752790?year=2020&price_id=31168143
76,21493547,Tenuta Guado al Tasso Cont'Ugo Bolgheri 2016,Antinori,Red wine,4.3,120000,,,https://www.vivino.com/antinori-tuscany-marchesi-antinori-tenuta-guado-al-tasso-cont-ugo-bolgheri/w/1752790?year=2016&price_id=21493547
77,29936560,Pessac-Léognan (Grand Cru Classé de Graves) 2016,Domaine de Chevalier,Red wine,4.3,139421,,,https://www.vivino.com/domaine-de-chevalier-pessac-leognan-grand-cru-classe-de-graves/w/1154913?year=2016&price_id=29936560
78,31354622,Chateau Buena Vista Cabernet Sauvignon Napa Valley 2015,Buena Vista,Red wine,4.3,150000,,,https://www.vivino.com/buena-vista-winery-chateau-buena-vista-cabernet-sauvignon-napa-valley/w/5261?year=2015&price_id=31354622
79,33222822,Aroha Te Muna Road Vineyard Pinot Noir 2021,Craggy Range,Red wine,4.3,147835,,,https://www.vivino.com/craggy-range-hawkes-bay-aroha-te-muna-road-vineyard-pinot-noir/w/1799825?year=2021&price_id=33222822
80,15574743,Alicante Bouschet - Cabernet Sauvignon 2013,Brutalis,Red wine,4.3,101248,,,https://www.vivino.com/brutalis-alicante-bouschet-cabernet-sauvignon/w/2396?year=2013&price_id=15574743
81,32222005,Prima Donna Pinot Noir 2019,Pegasus Bay,Red wine,4.3,79360,,,https://www.vivino.com/pegasus-bay-winery-prima-donna-pinot-noir/w/1173985?year=2019&price_id=32222005
82,14541873,Brunello di Montalcino 2010,Donatella Cinelli Colombini,Red wine,4.3,123523,,,https://www.vivino.com/donatella-cinelli-colombini-brunello-di-montalcino/w/1171483?year=2010&price_id=14541873
83,23138369,Baroness Nadine 2018,Rupert & Rothschild,White wine,4.3,78974,,,https://www.vivino.com/rupert-and-rothschild-vignerons-baroness-nadine/w/12437?year=2018&price_id=23138369
84,14542020,Brunello di Montalcino 2011,Fuligni,Red wine,4.3,127573,,,https://www.vivino.com/eredi-fuligni-brunello-di-montalcino/w/23271?year=2011&price_id=14542020
85,21493543,Russian River Valley Pinot Noir 2016,Hartford Court,Red wine,4.3,120000,,,https://www.vivino.com/hartford-court-russian-river-valley-pinot-noir/w/1481247?year=2016&price_id=21493543
86,2895006,Anaperenna 2006,Glaetzer,Red wine,4.3,109348,,,https://www.vivino.com/glaetzer-anaperenna/w/1165293?year=2006&price_id=2895006
87,33302097,Soliditas 2020,Tenuta Romana,Red wine,4.3,19449,,,https://www.vivino.com/tenuta-romana-soliditas/w/4110998?year=2020&price_id=33302097
88,18675551,Gigglepot Cabernet Sauvignon 2016,Mollydooker,Red wine,4.3,101248,,,https://www.vivino.com/mollydooker-winery-gigglepot-cabernet-sauvignon/w/1131225?year=2016&price_id=18675551
89,32336713,Rector Creek Vineyard 2020,Paraduxx,Red wine,4.3,114283,,,https://www.vivino.com/paraduxx-rector-creek-vineyard/w/1831670?year=2020&price_id=32336713
90,2754551,Mendoza 2005,Cheval des Andes,Red wine,4.3,141748,,,https://www.vivino.com/cheval-des-andes-mendoza/w/1926899?year=2005&price_id=2754551
91,14650474,Maximin Grünhäuser Abtsberg Riesling Auslese 2005,Maximin Grünhaus,White wine,4.3,53864,,,https://www.vivino.com/maximin-grunhaus-maximin-grunhauser-abtsberg-riesling-auslese/w/736427?year=2005&price_id=14650474
92,4483911,ARTEMIS Cabernet Sauvignon 2006,Stag's Leap Wine Cellars,Red wine,4.3,125548,,,https://www.vivino.com/stag-s-leap-wine-cellars-artemis-cabernet-sauvignon/w/1107336?year=2006&price_id=4483911
93,17601302,Principal Reserva Bairrada 2010,Colinas de São Lourenço,Red wine,4.3,73709,,,https://www.vivino.com/colinas-de-sao-lourenco-principal-reserva-bairrada/w/1389046?year=2010&price_id=17601302
94,30922208,Destinae 2019,Destiny Bay Vineyards,Red wine,4.3,147843,,,https://www.vivino.com/destiny-bay-vineyards-destinae/w/2938880?year=2019&price_id=30922208
95,30922206,Destinae 2018,Destiny Bay Vineyards,Red wine,4.3,147843,,,https://www.vivino.com/destiny-bay-vineyards-destinae/w/2938880?year=2018&price_id=30922206
96,26529439,Te Wahi Pinot Noir 2018,Cloudy Bay,Red wine,4.3,116710,,,https://www.vivino.com/cloudy-bay-marlborough-te-wahi-pinot-noir/w/1419566?year=2018&price_id=26529439
97,21493619,Sauvignon Blanc 2019,Little Beauty,White wine,4.3,60000,,,https://www.vivino.com/little-beauty-sauvignon-blanc/w/1758778?year=2019&price_id=21493619
98,33554781,Cuvée Aux Antipodes 2020,Prophet's Rock,Red wine,4.3,95701,,,https://www.vivino.com/prophet-s-rock-cuvee-aux-antipodes/w/5346254?year=2020&price_id=33554781
99,7944101,Montepulciano d'Abruzzo 2006,Villa Gemma,Red wine,4.3,141748,,,https://www.vivino.com/villa-gemma-abruzzo-montepulciano-d-abruzzo/w/93058?year=2006&price_id=7944101
100,31264716,The Tiger Lowburn Pinot Noir 2020,Chard Farm,Red wine,4.3,63798,,,https://www.vivino.com/chard-farm-the-tiger-lowburn-pinot-noir/w/2414322?year=2020&price_id=31264716
101,33293825,Te Koko Sauvignon Blanc 2020,Cloudy Bay,White wine,4.3,62786,,,https://www.vivino.com/cloudy-bay-marlborough-te-koko-sauvignon-blanc/w/1126958?year=2020&price_id=33293825
